California,33871648
Texas,20851820
New York,18976457
Florida,15982378
Illinois,12419293
Pennsylvania,12281054
Ohio,11353140
Michigan,9938444
Georgia,8186453
North Carolina,8049313
New Jersey,8414350
Virginia,7078515
Washington,5894121
Massachusetts,6349097
Indiana,6080485
Arizona,5130632
Tennessee,5689283
Missouri,5595211
Maryland,5296486
Wisconsin,5363675
Minnesota,4919479
Colorado,4301261
Alabama,4447100
South Carolina,4012012
Louisiana,4468976
Kentucky,4041769
Oregon,3421399
Oklahoma,3450654
Connecticut,3405565
Iowa,2926324
Mississippi,2844658
Arkansas,2673400
Kansas,2688418
Utah,2233169
Nevada,1998257
New Mexico,1819046
West Virginia,1808344
Nebraska,1711263
Idaho,1293953
Hawaii,1211537
Maine,1274923
New Hampshire,1235786
Rhode Island,1048319
Montana,902195
Delaware,783600
South Dakota,754844
Alaska,626932
North Dakota,642200
Vermont,608827
Wyoming,493782
